# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	4014	5012	-							LPMP_010010	999		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	4014	5012	-			AIN95102.1	hypothetical protein			LPMP_010010	999		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	4014	5012	-	AIN95102.1			hypothetical protein			LPMP_010010	999	332	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	6045	7706	-							LPMP_010020	1662		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	6045	7706	-			AIN95103.1	hypothetical protein			LPMP_010020	1662		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	6045	7706	-	AIN95103.1			hypothetical protein			LPMP_010020	1662	553	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	9255	11246	-							LPMP_010030	1992		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	9255	11246	-			AIN95104.1	MCAK-like kinesin, putative			LPMP_010030	1992		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	9255	11246	-	AIN95104.1			MCAK-like kinesin, putative			LPMP_010030	1992	663	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	12224	12784	-							LPMP_010040	561		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	12224	12784	-			AIN95105.1	hypothetical protein			LPMP_010040	561		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	12224	12784	-	AIN95105.1			hypothetical protein			LPMP_010040	561	186	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	14987	16984	-							LPMP_010050	1998		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	14987	16984	-			AIN95106.1	carboxylase, putative			LPMP_010050	1998		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	14987	16984	-	AIN95106.1			carboxylase, putative			LPMP_010050	1998	665	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	18240	18956	-							LPMP_010060	717		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	18240	18956	-			AIN95107.1	hypothetical protein			LPMP_010060	717		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	18240	18956	-	AIN95107.1			hypothetical protein			LPMP_010060	717	238	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	20086	21936	-							LPMP_010070	1851		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	20086	21936	-			AIN95108.1	hypothetical protein			LPMP_010070	1851		partial
CDS	with_protein	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	20086	21936	-	AIN95108.1			hypothetical protein			LPMP_010070	1851	616	
gene	protein_coding	GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	22773	23465	-							LPMP_010080	693		partial
mRNA		GCA_000755165.1	Primary Assembly	chromosome	1	CP009370.1	22773	23465	-			AIN95109.1	hypothetical protein			LPMP_010080	693		partial
