# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	7462	8463	-							LSCM1_08138	1002		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	7462	8463	-			KAG5488074.1	hypothetical protein			LSCM1_08138	1002		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	7462	8463	-	KAG5488074.1			hypothetical protein			LSCM1_08138	1002	333	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	9419	11077	-							LSCM1_08139	1659		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	9419	11077	-			KAG5488075.1	hypothetical protein			LSCM1_08139	1659		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	9419	11077	-	KAG5488075.1			hypothetical protein			LSCM1_08139	1659	552	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	12597	14594	-							LSCM1_08140	1998		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	12597	14594	-			KAG5488076.1	hypothetical protein			LSCM1_08140	1998		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	12597	14594	-	KAG5488076.1			hypothetical protein			LSCM1_08140	1998	665	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	15623	16183	-							LSCM1_08141	561		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	15623	16183	-			KAG5488077.1	hypothetical protein			LSCM1_08141	561		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	15623	16183	-	KAG5488077.1			hypothetical protein			LSCM1_08141	561	186	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	20821	22818	-							LSCM1_08142	1998		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	20821	22818	-			KAG5488078.1	hypothetical protein			LSCM1_08142	1998		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	20821	22818	-	KAG5488078.1			hypothetical protein			LSCM1_08142	1998	665	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	23848	24597	-							LSCM1_08143	750		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	23848	24597	-			KAG5488079.1	hypothetical protein			LSCM1_08143	750		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	23848	24597	-	KAG5488079.1			hypothetical protein			LSCM1_08143	750	249	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	25340	27127	-							LSCM1_08144	1788		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	25340	27127	-			KAG5488080.1	hypothetical protein			LSCM1_08144	1788		
CDS	with_protein	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	25340	27127	-	KAG5488080.1			hypothetical protein			LSCM1_08144	1788	595	
gene	protein_coding	GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	27991	28707	-							LSCM1_08145	717		
mRNA		GCA_017916325.1	Primary Assembly	chromosome	1	CM030396.1	27991	28707	-			KAG5488081.1	hypothetical protein			LSCM1_08145	717		
