# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	3662	4663	-							LDBPK_010010	1002		
CDS	with_protein	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	3662	4663	-	CBZ31089.1			hypothetical protein, unknown function			LDBPK_010010	1002	333	
gene	protein_coding	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	5750	7411	-							LDBPK_010020	1662		
CDS	with_protein	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	5750	7411	-	CBZ31090.1			hypothetical protein, conserved			LDBPK_010020	1662	553	
gene	protein_coding	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	9003	11024	-							LDBPK_010030	2022		
CDS	with_protein	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	9003	11024	-	CBZ31091.1			MCAK-like kinesin, putative			LDBPK_010030	2022	673	
gene	protein_coding	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	12006	12566	-							LDBPK_010040	561		
CDS	with_protein	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	12006	12566	-	CBZ31092.1			hypothetical protein, unknown function			LDBPK_010040	561	186	
gene	protein_coding	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	15035	17032	-							LDBPK_010050	1998		
CDS	with_protein	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	15035	17032	-	CBZ31093.1			carboxylase, putative			LDBPK_010050	1998	665	
gene	protein_coding	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	18188	18937	-							LDBPK_010060	750		
CDS	with_protein	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	18188	18937	-	CBZ31094.1			hypothetical protein, conserved			LDBPK_010060	750	249	
gene	protein_coding	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	20032	21774	-							LDBPK_010070	1743		
CDS	with_protein	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	20032	21774	-	CBZ31095.1			hypothetical protein, conserved			LDBPK_010070	1743	580	
gene	protein_coding	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	22614	23327	-							LDBPK_010080	714		
CDS	with_protein	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	22614	23327	-	CBZ31096.1			hypothetical protein, conserved			LDBPK_010080	714	237	
gene	protein_coding	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	26741	27697	-							LDBPK_010100	957		
CDS	with_protein	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	26741	27697	-	CBZ31097.1			hypothetical protein, conserved			LDBPK_010100	957	318	
gene	protein_coding	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	28797	29384	-							LDBPK_010110	588		
CDS	with_protein	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	28797	29384	-	CBZ31098.1			glutaredoxin-like protein			LDBPK_010110	588	195	
gene	protein_coding	GCA_000227135.2	Primary Assembly	chromosome	1	FR799588.2	30592	32565	-							LDBPK_010120	1974		
