# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	7495	8496	-							CUR178_08437	1002		
mRNA		GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	7495	8496	-			KAG5487351.1	hypothetical protein			CUR178_08437	1002		
CDS	with_protein	GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	7495	8496	-	KAG5487351.1			hypothetical protein			CUR178_08437	1002	333	
gene	protein_coding	GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	9339	11000	-							CUR178_08438	1662		
mRNA		GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	9339	11000	-			KAG5487352.1	hypothetical protein			CUR178_08438	1662		
CDS	with_protein	GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	9339	11000	-	KAG5487352.1			hypothetical protein			CUR178_08438	1662	553	
gene	protein_coding	GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	12518	14509	-							CUR178_08439	1992		
mRNA		GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	12518	14509	-			KAG5487353.1	hypothetical protein			CUR178_08439	1992		
CDS	with_protein	GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	12518	14509	-	KAG5487353.1			hypothetical protein			CUR178_08439	1992	663	
gene	protein_coding	GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	15599	16159	-							CUR178_08440	561		
mRNA		GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	15599	16159	-			KAG5487354.1	hypothetical protein			CUR178_08440	561		
CDS	with_protein	GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	15599	16159	-	KAG5487354.1			hypothetical protein			CUR178_08440	561	186	
gene	protein_coding	GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	18644	20641	-							CUR178_08441	1998		
mRNA		GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	18644	20641	-			KAG5487355.1	hypothetical protein			CUR178_08441	1998		
CDS	with_protein	GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	18644	20641	-	KAG5487355.1			hypothetical protein			CUR178_08441	1998	665	
gene	protein_coding	GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	21459	22199	-							CUR178_08442	741		
mRNA		GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	21459	22199	-			KAG5487356.1	hypothetical protein			CUR178_08442	741		
CDS	with_protein	GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	21459	22199	-	KAG5487356.1			hypothetical protein			CUR178_08442	741	246	
gene	protein_coding	GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	23285	25108	-							CUR178_08443	1824		
mRNA		GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	23285	25108	-			KAG5487357.1	hypothetical protein			CUR178_08443	1824		
CDS	with_protein	GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	23285	25108	-	KAG5487357.1			hypothetical protein			CUR178_08443	1824	607	
gene	protein_coding	GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	25823	26539	-							CUR178_08444	717		
mRNA		GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	25823	26539	-			KAG5487358.1	hypothetical protein			CUR178_08444	717		
CDS	with_protein	GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	25823	26539	-	KAG5487358.1			hypothetical protein			CUR178_08444	717	238	
gene	protein_coding	GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	27965	28789	-							CUR178_08445	825		
mRNA		GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	27965	28789	-			KAG5487359.1	hypothetical protein			CUR178_08445	825		
CDS	with_protein	GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	27965	28789	-	KAG5487359.1			hypothetical protein			CUR178_08445	825	274	
gene	protein_coding	GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	29478	30554	-							CUR178_08446	1077		
mRNA		GCA_017916305.1	Primary Assembly	chromosome	1	CM030576.1	29478	30554	-			KAG5487360.1	hypothetical protein			CUR178_08446	1077		
